epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7012,1.04321,4.75505,1.41915,0.54065,0.85278,0.85703,0.46268,1.06466,9.05154,1.39049,0.07015,0.00015,0.00015
2,42.7481,1.02271,2.36509,1.337,0.79633,0.85505,0.9345,0.52181,1.10036,8.68956,1.64167,0.0393049,0.000304899,0.000304899
3,64.4485,0.9655,1.8134,1.28504,0.61973,0.96308,0.91265,0.49736,1.15678,5.41174,1.73002,0.0084597,0.000459696,0.000459696
4,85.4752,0.97921,1.80352,1.29683,0.81491,0.89308,0.97644,0.57405,1.08135,2.75725,1.5004,0.000499505,0.000499505,0.000499505
5,107.048,0.93165,1.67413,1.25455,0.7682,0.91226,0.95135,0.57363,1.02194,2.52429,1.37039,0.00049934,0.00049934,0.00049934
6,128.18,0.96078,1.57975,1.25377,0.8217,0.93815,0.93619,0.56468,1.0377,2.43976,1.38591,0.000499175,0.000499175,0.000499175
7,150.072,0.86075,1.40427,1.20004,0.78118,0.92197,0.93404,0.56934,0.98458,2.2328,1.3355,0.00049901,0.00049901,0.00049901
8,171.035,0.85422,1.41023,1.19002,0.86627,0.95077,0.94084,0.56052,1.08647,1.55109,1.43907,0.000498845,0.000498845,0.000498845
9,192.106,0.86725,1.37703,1.19104,0.90276,0.95999,0.95533,0.60142,0.9863,1.5098,1.30725,0.00049868,0.00049868,0.00049868
10,213.836,0.82953,1.29466,1.17179,0.90617,0.96071,0.96597,0.57293,1.06653,1.46767,1.39069,0.000498515,0.000498515,0.000498515
