epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,570.493,0.88438,1.22204,1.31124,0.90987,0.98578,0.97176,0.61874,0.9579,1.12618,1.29465,0.000449263,0.000449263,0.000449263
43,583.99,0.8815,1.22726,1.29749,0.94427,0.9875,0.96888,0.63027,0.86631,0.99458,1.22121,0.000448025,0.000448025,0.000448025
44,598.007,0.89361,1.2605,1.33411,0.94718,0.9875,0.97116,0.63584,0.83801,1.02797,1.21273,0.000446788,0.000446788,0.000446788
45,611.984,0.87981,1.18872,1.31772,0.94221,0.98548,0.97545,0.61687,0.8967,1.03507,1.24687,0.00044555,0.00044555,0.00044555
46,625.972,0.91756,1.29973,1.336,0.94871,0.9875,0.97645,0.63384,0.90621,1.06466,1.24986,0.000444312,0.000444312,0.000444312
47,639.312,0.90041,1.29936,1.34789,0.95444,0.9875,0.97574,0.62101,0.8949,1.02498,1.24443,0.000443075,0.000443075,0.000443075
48,652.979,0.87716,1.20836,1.29016,0.94075,0.98197,0.97262,0.60457,0.93491,1.06657,1.2761,0.000441838,0.000441838,0.000441838
49,666.55,0.88331,1.21583,1.32069,0.93933,0.98169,0.97407,0.63259,0.89297,1.08674,1.24884,0.0004406,0.0004406,0.0004406
50,680.182,0.87766,1.20115,1.33235,0.94288,0.97574,0.97858,0.60257,0.94639,1.07769,1.28785,0.000439363,0.000439363,0.000439363
51,693.69,0.85881,1.19306,1.30525,0.91698,0.97321,0.96557,0.60703,0.91628,1.0956,1.27372,0.000438125,0.000438125,0.000438125
52,707.221,0.89318,1.23608,1.34067,0.946,0.97826,0.97945,0.61437,0.93847,1.09777,1.29117,0.000436888,0.000436888,0.000436888
53,720.724,0.88828,1.24173,1.32222,0.9439,0.97528,0.97396,0.63466,0.91131,1.08423,1.26312,0.00043565,0.00043565,0.00043565
54,734.118,0.88089,1.18313,1.31362,0.94037,0.97321,0.96912,0.60488,0.93137,1.09632,1.25966,0.000434412,0.000434412,0.000434412
55,747.873,0.85607,1.16449,1.29588,0.94777,0.9875,0.9713,0.59136,0.94652,1.06917,1.27704,0.000433175,0.000433175,0.000433175
56,761.437,0.84285,1.18466,1.26615,0.94599,0.98112,0.97088,0.62223,0.87023,0.99999,1.21839,0.000431938,0.000431938,0.000431938
57,774.624,0.83231,1.11523,1.2793,0.91166,0.97586,0.9676,0.61338,0.90478,1.04849,1.23498,0.0004307,0.0004307,0.0004307
58,788.069,0.87981,1.19553,1.30211,0.92677,0.9875,0.96496,0.62608,0.8833,0.99322,1.22801,0.000429463,0.000429463,0.000429463
59,801.497,0.8869,1.20065,1.30556,0.94619,0.9875,0.968,0.60377,0.989,1.06023,1.3208,0.000428225,0.000428225,0.000428225
60,814.894,0.87025,1.21086,1.31505,0.94195,0.98274,0.95878,0.54507,1.1184,1.13888,1.44562,0.000426988,0.000426988,0.000426988
61,828.308,0.8884,1.22876,1.34026,0.94301,0.9875,0.979,0.63601,0.88567,0.9788,1.23576,0.00042575,0.00042575,0.00042575
62,842.069,0.88225,1.20091,1.31588,0.94566,0.9875,0.9708,0.62985,0.88762,0.99039,1.22596,0.000424512,0.000424512,0.000424512
63,855.516,0.87536,1.21285,1.34897,0.92288,0.98015,0.96888,0.63442,0.91284,0.98081,1.23701,0.000423275,0.000423275,0.000423275
64,869.319,0.88309,1.18081,1.33182,0.91221,0.97745,0.96306,0.62089,0.9242,1.01674,1.24293,0.000422038,0.000422038,0.000422038
65,882.7,0.86079,1.18428,1.28808,0.94556,0.97683,0.96658,0.63213,0.88111,1.04528,1.22591,0.0004208,0.0004208,0.0004208
66,896.078,0.85106,1.18314,1.2742,0.93722,0.9768,0.97295,0.63421,0.89374,1.04902,1.24077,0.000419563,0.000419563,0.000419563
67,909.46,0.84129,1.13037,1.27074,0.93382,0.97715,0.96874,0.60986,0.92001,1.05984,1.25772,0.000418325,0.000418325,0.000418325
68,922.778,0.85009,1.12504,1.29263,0.90531,0.97642,0.96249,0.6194,0.88698,1.03506,1.23625,0.000417088,0.000417088,0.000417088
69,936.113,0.84326,1.11872,1.27636,0.94259,0.9875,0.96911,0.63538,0.87655,1.01185,1.24598,0.00041585,0.00041585,0.00041585
70,949.485,0.84731,1.15004,1.28881,0.94257,0.9875,0.97896,0.63744,0.8961,1.01792,1.27465,0.000414613,0.000414613,0.000414613
71,963.251,0.84383,1.09776,1.27238,0.9458,0.9875,0.95649,0.6284,0.86861,1.00585,1.24319,0.000413375,0.000413375,0.000413375
