epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,891.185,0.68847,0.95006,1.08818,0.93838,0.97409,0.98399,0.62829,0.96708,1.06698,1.28154,0.000449263,0.000449263,0.000449263
43,912.234,0.69087,0.92962,1.08541,0.92895,0.98123,0.98362,0.62936,0.95518,1.04398,1.28322,0.000448025,0.000448025,0.000448025
44,933.204,0.71234,0.95212,1.09761,0.93412,0.96922,0.987,0.63061,0.94969,1.07139,1.27764,0.000446788,0.000446788,0.000446788
45,954.879,0.70939,0.95073,1.09725,0.91175,0.97111,0.97897,0.62978,0.98944,1.10526,1.31161,0.00044555,0.00044555,0.00044555
46,975.894,0.6933,0.92417,1.08191,0.91206,0.93779,0.94846,0.61855,0.93166,1.13476,1.25239,0.000444312,0.000444312,0.000444312
47,996.895,0.69014,0.92191,1.08411,0.91155,0.95606,0.96594,0.61041,0.94331,1.05548,1.27782,0.000443075,0.000443075,0.000443075
48,1018.41,0.68531,0.93788,1.08419,0.90668,0.96892,0.97279,0.62079,0.91651,1.08186,1.25764,0.000441838,0.000441838,0.000441838
49,1039.37,0.6896,0.94802,1.07783,0.91351,0.96071,0.96833,0.61873,0.93846,1.0622,1.26905,0.0004406,0.0004406,0.0004406
50,1060.47,0.68928,0.94498,1.08331,0.91909,0.95014,0.95557,0.60807,0.96172,1.06003,1.29368,0.000439363,0.000439363,0.000439363
51,1081.51,0.6916,0.91809,1.09331,0.91783,0.95617,0.94296,0.59455,0.97613,1.09923,1.2951,0.000438125,0.000438125,0.000438125
52,1102.4,0.70279,0.92953,1.10176,0.92276,0.95624,0.94959,0.60558,0.94906,1.09279,1.27146,0.000436888,0.000436888,0.000436888
53,1123.48,0.68123,0.91025,1.0712,0.91437,0.96071,0.94875,0.60467,0.98897,1.13075,1.33135,0.00043565,0.00043565,0.00043565
54,1144.54,0.67977,0.92119,1.07177,0.92123,0.95048,0.94747,0.60321,0.97244,1.13911,1.31676,0.000434412,0.000434412,0.000434412
55,1166.11,0.68861,0.95059,1.08902,0.92058,0.96031,0.95125,0.58199,1.01587,1.13634,1.37421,0.000433175,0.000433175,0.000433175
56,1187.08,0.69735,0.93725,1.0937,0.9092,0.94577,0.957,0.60619,0.96809,1.05553,1.3186,0.000431938,0.000431938,0.000431938
57,1208.03,0.68907,0.9143,1.08615,0.91712,0.94754,0.97021,0.61123,0.97219,1.04491,1.31717,0.0004307,0.0004307,0.0004307
58,1229,0.68317,0.88464,1.08142,0.93742,0.93212,0.95653,0.60874,0.95094,1.0794,1.26909,0.000429463,0.000429463,0.000429463
59,1250,0.68788,0.89182,1.07394,0.94488,0.9613,0.97154,0.6313,0.95068,1.13881,1.26804,0.000428225,0.000428225,0.000428225
60,1270.91,0.6882,0.89626,1.07482,0.94566,0.96033,0.96073,0.60915,0.97709,1.1266,1.30258,0.000426988,0.000426988,0.000426988
61,1292.38,0.67996,0.9066,1.07405,0.91435,0.96922,0.96935,0.597,0.99152,1.1388,1.31156,0.00042575,0.00042575,0.00042575
62,1313.31,0.67342,0.92435,1.07096,0.90416,0.94902,0.95616,0.62407,0.99907,1.17658,1.33875,0.000424512,0.000424512,0.000424512
63,1334.38,0.66823,0.92726,1.07046,0.92545,0.96071,0.9704,0.62716,0.96977,1.09165,1.32614,0.000423275,0.000423275,0.000423275
64,1355.35,0.67077,0.90603,1.05661,0.92418,0.95349,0.94822,0.60277,0.96992,1.15656,1.32332,0.000422038,0.000422038,0.000422038
65,1376.27,0.66309,0.88167,1.05897,0.91615,0.95015,0.9565,0.60824,0.97453,1.10659,1.32071,0.0004208,0.0004208,0.0004208
66,1397.24,0.66078,0.86977,1.07376,0.92836,0.95826,0.94057,0.60481,0.99001,1.13015,1.33775,0.000419563,0.000419563,0.000419563
67,1418.07,0.65452,0.87307,1.05782,0.91501,0.95432,0.95431,0.60647,0.93985,1.0836,1.29073,0.000418325,0.000418325,0.000418325
68,1438.95,0.65356,0.87289,1.05956,0.9131,0.94305,0.92944,0.58775,0.92024,1.15323,1.25099,0.000417088,0.000417088,0.000417088
69,1460.26,0.6592,0.9026,1.05865,0.91914,0.95617,0.93404,0.59732,0.9442,1.11901,1.26673,0.00041585,0.00041585,0.00041585
70,1481.17,0.66027,0.88705,1.07163,0.91614,0.94961,0.96448,0.6304,0.97614,1.08464,1.31911,0.000414613,0.000414613,0.000414613
